dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,ares,blenderbananapancakes,0.17454545199871063,10,15;2;4,0.6399470899470899,0.0,0.9333333333333333,0.5661904761904762
captaincookrecipes,ares,breakfastburritos,0.17454545199871063,10,12;4;7;8,0.8226190476190477,0.0,1.0,0.6519047619047619
captaincookrecipes,ares,broccolistirfry,0.17454545199871063,10,11;12;15;16;17;2;20;23;25;26;4;7;9,0.509269120017314,0.0,0.43076923076923074,0.4055353959765724
captaincookrecipes,ares,buttercorncup,0.17454545199871063,10,1;10;11;13;14;7;9,0.9166666666666666,0.0,0.7,0.6117857142857143
captaincookrecipes,ares,capresebruschetta,0.17454545199871063,10,12;4;5;7,0.4154585537918871,0.0,0.375,0.2639285714285714
captaincookrecipes,ares,cheesepimiento,0.17454545199871063,10,1;11;12;2;4;5;6;7,0.7341558441558441,0.0,0.8375,0.8019841269841269
captaincookrecipes,ares,coffee,0.17454545199871063,10,1;11;13;15;16;17;2;6;8;9,0.8161690161690162,0.0,0.71,0.6460256410256411
captaincookrecipes,ares,cucumberraita,0.17454545199871063,10,12;4;6,0.45992063492063495,0.0,0.3333333333333333,0.21952380952380954
captaincookrecipes,ares,dressedupmeatballs,0.17454545199871063,10,10;12;13;14;17;2;5;7;8,0.6011976911976912,0.0,0.45555555555555555,0.6077380952380953
captaincookrecipes,ares,herbomeletwithfriedtomatoes,0.17454545199871063,10,1;10;11;14;16;2;3;4;6;7;8;9,0.566710758377425,0.0,0.4333333333333333,0.7690873015873015
captaincookrecipes,ares,microwaveeggsandwich,0.17454545199871063,10,13;2;7;9,0.5156084656084656,0.0,0.625,0.4409523809523809
captaincookrecipes,ares,microwavefrenchtoast,0.17454545199871063,10,1;10;13;3;7;8,0.6692857142857143,0.0,0.4,0.42404761904761906
captaincookrecipes,ares,microwavemugpizza,0.17454545199871063,10,1;10;11;12;14;15;2;3;4;5;7,0.8825563325563326,0.0,0.8727272727272727,0.8531351981351982
captaincookrecipes,ares,mugcake,0.17454545199871063,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.851294480755265,0.0,0.7733333333333333,0.7636134453781512
captaincookrecipes,ares,panfriedtofu,0.17454545199871063,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.7732833832833833,0.0,0.63125,0.9004079254079255
captaincookrecipes,ares,pinwheels,0.17454545199871063,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.8941040305010893,0.0,0.8518518518518519,0.9865196078431373
