dataset,method,recipe_name,final_node_id,final_conclusion_deviation
captaincookrecipes,entail_base,blenderbananapancakes,15,0.0
captaincookrecipes,entail_base,breakfastburritos,12,0.0
captaincookrecipes,entail_base,broccolistirfry,26,0.0
captaincookrecipes,entail_base,buttercorncup,14,0.0
captaincookrecipes,entail_base,capresebruschetta,12,0.0
captaincookrecipes,entail_base,cheesepimiento,12,0.0
captaincookrecipes,entail_base,coffee,17,0.0
captaincookrecipes,entail_base,cucumberraita,12,0.0
captaincookrecipes,entail_base,dressedupmeatballs,17,0.0
captaincookrecipes,entail_base,herbomeletwithfriedtomatoes,16,0.0
captaincookrecipes,entail_base,microwaveeggsandwich,13,0.0
captaincookrecipes,entail_base,microwavefrenchtoast,13,0.0
captaincookrecipes,entail_base,microwavemugpizza,15,0.0
captaincookrecipes,entail_base,mugcake,21,0.0
captaincookrecipes,entail_base,panfriedtofu,20,0.0
captaincookrecipes,entail_base,pinwheels,20,0.0
captaincookrecipes,entail_base,ramen,16,0.0
captaincookrecipes,entail_base,sautedmushrooms,19,0.0
captaincookrecipes,entail_base,scrambledeggs,24,0.0
captaincookrecipes,entail_base,spicedhotchocolate,9,0.0
captaincookrecipes,entail_base,spicytunaavocadowraps,18,0.0
captaincookrecipes,entail_base,tomatochutney,20,0.0
captaincookrecipes,entail_base,tomatomozzarellasalad,10,0.0
captaincookrecipes,entail_base,zoodles,14,0.0
