dataset,method,recipe_name,topodev,num_orderings_used
captaincookrecipes,ares,blenderbananapancakes,0.4101631714651982,10
captaincookrecipes,ares,breakfastburritos,0.33999998308718204,10
captaincookrecipes,ares,broccolistirfry,0.49545343012477344,10
captaincookrecipes,ares,buttercorncup,0.2118003747354333,10
captaincookrecipes,ares,capresebruschetta,0.5984848307756087,10
captaincookrecipes,ares,cheesepimiento,0.3651515005234008,10
captaincookrecipes,ares,coffee,0.35701048089300885,10
captaincookrecipes,ares,cucumberraita,0.6287878759515783,10
captaincookrecipes,ares,dressedupmeatballs,0.4387590540025164,10
captaincookrecipes,ares,herbomeletwithfriedtomatoes,0.43992213997989893,10
captaincookrecipes,ares,microwaveeggsandwich,0.4336917712711371,10
captaincookrecipes,ares,microwavefrenchtoast,0.34260604410277057,10
captaincookrecipes,ares,microwavemugpizza,0.10326340508957704,10
captaincookrecipes,ares,mugcake,0.32836712302551385,10
captaincookrecipes,ares,panfriedtofu,0.297499997029081,10
captaincookrecipes,ares,pinwheels,0.15613333652727307,9
captaincookrecipes,ares,ramen,0.35523357114288956,10
captaincookrecipes,ares,sautedmushrooms,0.20522782343782878,10
captaincookrecipes,ares,scrambledeggs,0.25741639657644555,10
captaincookrecipes,ares,spicedhotchocolate,0.014665354508906603,6
captaincookrecipes,ares,spicytunaavocadowraps,0.353107357940947,10
captaincookrecipes,ares,tomatochutney,0.26383333848789337,10
captaincookrecipes,ares,tomatomozzarellasalad,0.2547170326113701,10
captaincookrecipes,ares,zoodles,0.35055721404829193,10
captaincookrecipes,entail_prev,blenderbananapancakes,0.3333333333333333,10
captaincookrecipes,entail_prev,breakfastburritos,0.3333333333333333,10
captaincookrecipes,entail_prev,broccolistirfry,0.5384615384615384,10
captaincookrecipes,entail_prev,buttercorncup,0.23076923076923078,10
captaincookrecipes,entail_prev,capresebruschetta,0.6666666666666666,10
captaincookrecipes,entail_prev,cheesepimiento,0.4166666666666667,10
captaincookrecipes,entail_prev,coffee,0.5882352941176471,10
captaincookrecipes,entail_prev,cucumberraita,0.5833333333333334,10
captaincookrecipes,entail_prev,dressedupmeatballs,0.4117647058823529,10
captaincookrecipes,entail_prev,herbomeletwithfriedtomatoes,0.5,10
captaincookrecipes,entail_prev,microwaveeggsandwich,0.38461538461538464,10
captaincookrecipes,entail_prev,microwavefrenchtoast,0.4166666666666667,10
captaincookrecipes,entail_prev,microwavemugpizza,0.3333333333333333,10
captaincookrecipes,entail_prev,mugcake,0.42857142857142855,10
captaincookrecipes,entail_prev,panfriedtofu,0.2,10
captaincookrecipes,entail_prev,pinwheels,0.25,9
captaincookrecipes,entail_prev,ramen,0.5,10
captaincookrecipes,entail_prev,sautedmushrooms,0.42105263157894735,10
captaincookrecipes,entail_prev,scrambledeggs,0.5833333333333334,10
captaincookrecipes,entail_prev,spicedhotchocolate,0.0,6
captaincookrecipes,entail_prev,spicytunaavocadowraps,0.4444444444444444,10
captaincookrecipes,entail_prev,tomatochutney,0.5,10
captaincookrecipes,entail_prev,tomatomozzarellasalad,0.2,10
captaincookrecipes,entail_prev,zoodles,0.5,10
captaincookrecipes,entail_base,blenderbananapancakes,0.2,10
captaincookrecipes,entail_base,breakfastburritos,0.16666666666666666,10
captaincookrecipes,entail_base,broccolistirfry,0.15384615384615385,10
captaincookrecipes,entail_base,buttercorncup,0.07692307692307693,10
captaincookrecipes,entail_base,capresebruschetta,0.16666666666666666,10
captaincookrecipes,entail_base,cheesepimiento,0.25,10
captaincookrecipes,entail_base,coffee,0.0,10
captaincookrecipes,entail_base,cucumberraita,0.5,10
captaincookrecipes,entail_base,dressedupmeatballs,0.23529411764705882,10
captaincookrecipes,entail_base,herbomeletwithfriedtomatoes,0.1875,10
captaincookrecipes,entail_base,microwaveeggsandwich,0.15384615384615385,10
captaincookrecipes,entail_base,microwavefrenchtoast,0.08333333333333333,10
captaincookrecipes,entail_base,microwavemugpizza,0.0,10
captaincookrecipes,entail_base,mugcake,0.09523809523809523,10
captaincookrecipes,entail_base,panfriedtofu,0.1,10
captaincookrecipes,entail_base,pinwheels,0.15,9
captaincookrecipes,entail_base,ramen,0.1875,10
captaincookrecipes,entail_base,sautedmushrooms,0.0,10
captaincookrecipes,entail_base,scrambledeggs,0.20833333333333334,10
captaincookrecipes,entail_base,spicedhotchocolate,0.0,6
captaincookrecipes,entail_base,spicytunaavocadowraps,0.2222222222222222,10
captaincookrecipes,entail_base,tomatochutney,0.15,10
captaincookrecipes,entail_base,tomatomozzarellasalad,0.2,10
captaincookrecipes,entail_base,zoodles,0.07142857142857142,10
