dataset,method,recipe_name,threshold,num_orderings,ground_truth_error_node_ids,mean_pairwise_jaccard,frac_orderings_exact_match_gt,mean_recall,mean_precision
captaincookrecipes,ares,blenderbananapancakes,0.03125,10,15;2;4,0.6578835978835978,0.0,0.8333333333333334,0.5983333333333334
captaincookrecipes,ares,breakfastburritos,0.03125,10,12;4;7;8,0.726031746031746,0.1,0.925,0.7216666666666667
captaincookrecipes,ares,broccolistirfry,0.03125,10,11;12;15;16;17;2;20;23;25;26;4;7;9,0.4684647131857389,0.0,0.49230769230769234,0.49979997127055953
captaincookrecipes,ares,buttercorncup,0.03125,10,1;10;11;13;14;7;9,0.7840388007054674,0.0,0.6428571428571429,0.6371031746031746
captaincookrecipes,ares,capresebruschetta,0.03125,10,12;4;5;7,0.21888888888888888,0.0,0.275,0.2819047619047619
captaincookrecipes,ares,cheesepimiento,0.03125,10,1;11;12;2;4;5;6;7,0.7096119929453263,0.0,0.725,0.8463095238095238
captaincookrecipes,ares,coffee,0.03125,10,1;11;13;15;16;17;2;6;8;9,0.817000777000777,0.0,0.69,0.679469696969697
captaincookrecipes,ares,cucumberraita,0.03125,10,12;4;6,0.2073809523809524,0.0,0.2333333333333333,0.32
captaincookrecipes,ares,dressedupmeatballs,0.03125,10,10;12;13;14;17;2;5;7;8,0.5548877665544333,0.0,0.4444444444444445,0.6575
captaincookrecipes,ares,herbomeletwithfriedtomatoes,0.03125,10,1;10;11;14;16;2;3;4;6;7;8;9,0.7054769921436588,0.0,0.5833333333333333,0.8763095238095238
captaincookrecipes,ares,microwaveeggsandwich,0.03125,10,13;2;7;9,0.35269841269841273,0.0,0.25,0.21666666666666665
captaincookrecipes,ares,microwavefrenchtoast,0.03125,10,1;10;13;3;7;8,0.42277777777777775,0.0,0.31666666666666665,0.4583333333333333
captaincookrecipes,ares,microwavemugpizza,0.03125,10,1;10;11;12;14;15;2;3;4;5;7,0.8030976430976431,0.0,0.8181818181818181,0.9153787878787879
captaincookrecipes,ares,mugcake,0.03125,10,1;12;13;14;15;16;18;19;2;20;21;3;5;7;9,0.6730895121581396,0.0,0.7,0.7587454212454212
captaincookrecipes,ares,panfriedtofu,0.03125,10,10;11;13;14;15;16;17;18;2;20;3;4;6;7;8;9,0.6408949692283026,0.0,0.49375,0.8881709956709957
captaincookrecipes,ares,pinwheels,0.03125,9,1;10;11;12;14;15;17;18;19;2;20;3;4;5;6;7;8;9,0.5374183505310957,0.0,0.5925925925925926,0.9907407407407407
captaincookrecipes,ares,ramen,0.03125,10,1;16;2;9,0.61994708994709,0.0,0.8,0.6938095238095239
captaincookrecipes,ares,sautedmushrooms,0.03125,10,11;12;13;15;16;17;18;19;3;4;5;8;9,0.69998741998742,0.0,0.7307692307692307,0.8687631812631812
captaincookrecipes,ares,scrambledeggs,0.03125,10,1;11;13;14;15;16;17;18;21;22;24;3;5;8;9,0.697994481152376,0.0,0.8666666666666666,0.7399229691876751
captaincookrecipes,ares,spicedhotchocolate,0.03125,6,1;3;8;9,0.719047619047619,0.0,0.875,0.5119047619047619
captaincookrecipes,ares,spicytunaavocadowraps,0.03125,10,13;14;16;18;2;6;7;8;9,0.6292739359406027,0.0,0.8,0.7953102453102453
captaincookrecipes,ares,tomatochutney,0.03125,10,1;10;13;14;15;16;18;19;2;20;3;4;5;6;7;8;9,0.7540450453685749,0.1,0.8058823529411765,1.0
