dataset,method,recipe_name,ordering_index,node_id,position,score
captaincookrecipes,entail_base,blenderbananapancakes,0,12,0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,13,1,1.0
captaincookrecipes,entail_base,blenderbananapancakes,0,5,2,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,9,3,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,1,4,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,7,5,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,3,6,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,11,7,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,6,8,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,8,9,1.0
captaincookrecipes,entail_base,blenderbananapancakes,0,10,10,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,14,11,1.0
captaincookrecipes,entail_base,blenderbananapancakes,0,2,12,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,4,13,0.0
captaincookrecipes,entail_base,blenderbananapancakes,0,15,14,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,12,0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,13,1,1.0
captaincookrecipes,entail_base,blenderbananapancakes,1,5,2,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,1,3,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,9,4,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,7,5,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,3,6,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,11,7,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,6,8,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,8,9,1.0
captaincookrecipes,entail_base,blenderbananapancakes,1,10,10,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,14,11,1.0
captaincookrecipes,entail_base,blenderbananapancakes,1,2,12,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,4,13,0.0
captaincookrecipes,entail_base,blenderbananapancakes,1,15,14,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,12,0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,5,1,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,13,2,1.0
captaincookrecipes,entail_base,blenderbananapancakes,2,1,3,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,9,4,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,7,5,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,3,6,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,11,7,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,6,8,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,8,9,1.0
captaincookrecipes,entail_base,blenderbananapancakes,2,10,10,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,14,11,1.0
captaincookrecipes,entail_base,blenderbananapancakes,2,2,12,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,4,13,0.0
captaincookrecipes,entail_base,blenderbananapancakes,2,15,14,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,5,0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,9,1,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,1,2,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,13,3,1.0
captaincookrecipes,entail_base,blenderbananapancakes,3,12,4,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,7,5,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,3,6,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,11,7,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,6,8,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,8,9,1.0
captaincookrecipes,entail_base,blenderbananapancakes,3,10,10,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,14,11,1.0
captaincookrecipes,entail_base,blenderbananapancakes,3,2,12,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,4,13,0.0
captaincookrecipes,entail_base,blenderbananapancakes,3,15,14,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,12,0,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,13,1,1.0
captaincookrecipes,entail_base,blenderbananapancakes,4,1,2,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,9,3,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,5,4,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,7,5,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,3,6,0.0
captaincookrecipes,entail_base,blenderbananapancakes,4,11,7,0.0
