method,recipe_name,edge_violated,violation_effect_v,normalized_effect_v,exceeds_noise_v,correct_direction_v,violation_effect_u,normalized_effect_u,exceeds_noise_u,correct_direction_u
ares,blenderbananapancakes,14->2,0.2237762212753296,1.0491803278688525,True,True,0.2902097702026367,1.121621282301906,True,True
ares,blenderbananapancakes,7->3,0.07902097702026367,0.1757387328709674,False,True,0.2377622425556183,0.35789471795354333,False,True
ares,blenderbananapancakes,2->4,0.0,,False,False,0.2237762212753296,1.0491803278688525,True,True
ares,blenderbananapancakes,11->6,0.045454561710357666,0.07738098680821301,False,True,-0.09790210425853729,0.18918917907185706,False,False
ares,blenderbananapancakes,1->7,-0.048951029777526855,0.07368417629079725,False,False,0.024475526064634323,0.29166666296724675,False,True
ares,blenderbananapancakes,6->8,0.23076921701431274,0.5365852678245364,False,True,-0.18881112337112427,0.3214284880783615,False,False
ares,blenderbananapancakes,8->10,0.43356647342443466,1.0420170867553438,True,True,-0.34965038299560547,0.8130081075458704,False,False
ares,blenderbananapancakes,3->11,0.02097901701927185,0.040540528088439456,False,True,-0.4629371166229248,1.0295491822809228,True,False
ares,blenderbananapancakes,10->14,-0.16783219575881958,0.6486486050662998,False,False,0.11888119578361511,0.28571452105607603,False,True
ares,blenderbananapancakes,4->15,0.0,,False,False,0.0,,False,False
ares,breakfastburritos,6->1,0.007272779941558838,0.1111119205569392,False,True,0.6145453418139368,0.9234972346125294,False,True
ares,breakfastburritos,1->2,0.039999961853027344,0.392856912877402,False,True,0.6909090578556061,10.555555504965191,True,True
ares,breakfastburritos,8->4,0.0,0.0,False,False,0.047272724099457264,0.4333333327641917,False,True
ares,breakfastburritos,11->5,0.02181818336248398,0.03296703890518504,False,True,0.0,0.0,False,False
ares,breakfastburritos,4->7,0.02545454539358616,0.25925925012488865,False,True,0.0,0.0,False,False
ares,breakfastburritos,5->8,-0.16727272421121597,1.5333334061834596,True,False,0.058181822299957275,0.0879121037471601,False,True
ares,breakfastburritos,2->9,0.18909090012311935,0.2639593775058841,False,True,0.046545445919036865,0.4571429407718538,False,True
ares,breakfastburritos,7->12,0.014545454643666744,0.14814814428360673,False,True,0.02545454539358616,0.25925925012488865,False,True
ares,broccolistirfry,11->2,-0.6964856907725334,1.2823531458142847,True,False,0.3226837031543255,0.8859649063591069,False,True
ares,broccolistirfry,9->4,0.5750798285007477,0.9890108268022997,False,True,-0.24920126795768738,0.3070865924852906,False,False
ares,broccolistirfry,13->6,0.0,0.0,False,False,0.3099041599780321,0.39591837197992136,False,True
ares,broccolistirfry,23->7,-0.8434505388140678,1.3608247193418093,True,False,0.0,,False,False
ares,broccolistirfry,6->11,0.07987219095230103,0.21929820900781213,False,True,0.0,0.0,False,False
ares,broccolistirfry,4->12,-0.2523961812257767,1.012820508029192,True,False,0.21725237369537354,0.37362630209684744,False,True
ares,broccolistirfry,8->13,0.23642173409461975,0.30204082471834814,False,True,-0.00638977624475956,0.15384615729590506,False,False
ares,broccolistirfry,22->14,-0.022364258766174316,0.1111113085317707,False,False,0.07348242402076721,0.10087718759918805,False,True
ares,broccolistirfry,7->15,0.06070287525653839,0.14728682296666581,False,True,0.022364214062690735,0.03608246592379041,False,True
ares,broccolistirfry,17->16,0.10862624645233154,0.13934433679663968,False,True,0.04472843557596207,0.17948718159536067,False,True
