dataset,method,recipe_name,final_node_id,final_conclusion_deviation
captaincookrecipes,sager,blenderbananapancakes,15,0.2272727284580469
captaincookrecipes,sager,breakfastburritos,12,0.014545454643666744
captaincookrecipes,sager,broccolistirfry,26,0.17571884393692017
captaincookrecipes,sager,buttercorncup,14,0.2759856507182121
captaincookrecipes,sager,capresebruschetta,12,0.15999996662139893
captaincookrecipes,sager,cheesepimiento,12,0.09090908616781235
captaincookrecipes,sager,coffee,17,0.07876712083816528
captaincookrecipes,sager,cucumberraita,12,0.10909086465835571
captaincookrecipes,sager,dressedupmeatballs,17,0.17465758323669434
captaincookrecipes,sager,herbomeletwithfriedtomatoes,16,0.20069203525781631
captaincookrecipes,sager,microwaveeggsandwich,13,0.3010752946138382
captaincookrecipes,sager,microwavefrenchtoast,13,0.010909090749919415
captaincookrecipes,sager,microwavemugpizza,15,0.0
captaincookrecipes,sager,mugcake,21,0.0
captaincookrecipes,sager,panfriedtofu,20,0.21666666865348816
captaincookrecipes,sager,pinwheels,20,0.0
captaincookrecipes,sager,ramen,16,0.08304498344659805
captaincookrecipes,sager,sautedmushrooms,19,0.15436241030693054
captaincookrecipes,sager,scrambledeggs,24,0.0
captaincookrecipes,sager,spicedhotchocolate,9,0.0
captaincookrecipes,sager,spicytunaavocadowraps,18,0.19661016762256622
captaincookrecipes,sager,tomatochutney,20,0.28666670620441437
captaincookrecipes,sager,tomatomozzarellasalad,10,0.0
captaincookrecipes,sager,zoodles,14,0.12056736648082733
