method,recipe_name,fold,threshold,num_orderings,mean_f1,min_f1,max_f1,delta_f1,mean_pairwise_jaccard,exact_match_rate,flip_rate,num_zero_predicted_positive_orderings
ares,blenderbananapancakes,1,0.29898306727409363,10,0.624991674991675,0.4615384615384615,0.8571428571428571,0.3956043956043956,0.6161022927689594,0.0,0.4666666666666667,0
ares,breakfastburritos,0,0.16363635659217834,10,0.795959595959596,0.7272727272727273,0.888888888888889,0.16161616161616166,0.8391534391534391,0.0,0.16666666666666666,0
ares,broccolistirfry,0,0.16363635659217834,10,0.3757739375926072,0.21052631578947367,0.5517241379310345,0.3411978221415608,0.5001166093967951,0.0,0.7307692307692307,0
ares,buttercorncup,2,0.17491750419139862,10,0.6476190476190476,0.5714285714285714,0.6666666666666666,0.09523809523809523,0.9555555555555556,0.0,0.07692307692307693,0
ares,capresebruschetta,2,0.17491750419139862,10,0.27807303807303807,0.0,0.46153846153846156,0.46153846153846156,0.4187037037037037,0.0,0.75,1
ares,cheesepimiento,1,0.29898306727409363,10,0.8214602683178536,0.6666666666666666,0.888888888888889,0.22222222222222232,0.7709315375982042,0.0,0.4166666666666667,0
ares,coffee,3,0.17491750419139862,10,0.6788865444243019,0.608695652173913,0.761904761904762,0.153209109730849,0.8026906426906426,0.0,0.4117647058823529,0
ares,cucumberraita,4,0.17600001394748688,10,0.22738095238095238,0.0,0.4444444444444444,0.4444444444444444,0.43339506172839504,0.0,0.75,0
ares,dressedupmeatballs,0,0.16363635659217834,10,0.4602124183006536,0.2857142857142857,0.6250000000000001,0.3392857142857144,0.5811552028218695,0.0,0.4117647058823529,0
ares,herbomeletwithfriedtomatoes,4,0.17600001394748688,10,0.564122427280322,0.13333333333333333,0.761904761904762,0.6285714285714287,0.6338896905563571,0.0,0.625,0
ares,microwaveeggsandwich,0,0.16363635659217834,10,0.2288095238095238,0.0,0.8,0.8,0.38005291005291003,0.0,0.5384615384615384,0
ares,microwavefrenchtoast,2,0.17491750419139862,10,0.47939060939060935,0.1818181818181818,0.6153846153846153,0.43356643356643354,0.7472751322751323,0.0,0.3333333333333333,0
ares,microwavemugpizza,1,0.29898306727409363,10,0.8282608695652174,0.7826086956521738,0.8333333333333333,0.050724637681159424,0.9846153846153846,0.0,0.06666666666666667,0
ares,mugcake,4,0.17600001394748688,10,0.7732007786429367,0.7333333333333333,0.8125,0.07916666666666672,0.8372616863509537,0.0,0.3333333333333333,0
ares,panfriedtofu,3,0.17491750419139862,10,0.7799404937335972,0.6923076923076923,0.8275862068965517,0.13527851458885942,0.8254782254782255,0.0,0.4,0
ares,pinwheels,0,0.16363635659217834,9,0.9159663865546217,0.8823529411764706,0.9714285714285714,0.08907563025210086,0.9294662309368191,0.0,0.15,0
ares,ramen,4,0.17600001394748688,10,0.7114590964590964,0.5714285714285715,0.888888888888889,0.31746031746031744,0.6513932980599647,0.0,0.4375,0
ares,sautedmushrooms,1,0.29898306727409363,10,0.8105071225071224,0.7500000000000001,0.8799999999999999,0.12999999999999978,0.857977207977208,0.0,0.2631578947368421,0
ares,scrambledeggs,2,0.17491750419139862,10,0.8233623080681903,0.7567567567567568,0.8823529411764706,0.12559618441971376,0.8356852165547818,0.0,0.5,0
ares,spicedhotchocolate,3,0.17491750419139862,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0
