dataset,recipe_name,ordering_index,method,threshold,fold,precision,recall,f1,precision_zero_division,recall_zero_division,predicted_error_set,ground_truth_error_set
captaincookrecipes,blenderbananapancakes,0,ares,0.29898306727409363,1,0.5,1.0,0.6666666666666666,False,False,1;11;15;2;3;4,15;2;4
captaincookrecipes,blenderbananapancakes,1,ares,0.29898306727409363,1,0.6,1.0,0.7499999999999999,False,False,1;15;2;4;9,15;2;4
captaincookrecipes,blenderbananapancakes,2,ares,0.29898306727409363,1,0.6,1.0,0.7499999999999999,False,False,1;13;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,3,ares,0.29898306727409363,1,0.3,1.0,0.4615384615384615,False,False,1;11;12;15;2;3;4;5;7;9,15;2;4
captaincookrecipes,blenderbananapancakes,4,ares,0.29898306727409363,1,0.75,1.0,0.8571428571428571,False,False,1;15;2;4,15;2;4
captaincookrecipes,blenderbananapancakes,5,ares,0.29898306727409363,1,0.5,1.0,0.6666666666666666,False,False,1;11;15;2;3;4,15;2;4
captaincookrecipes,blenderbananapancakes,6,ares,0.29898306727409363,1,0.375,1.0,0.5454545454545454,False,False,1;12;15;2;3;4;5;7,15;2;4
captaincookrecipes,blenderbananapancakes,7,ares,0.29898306727409363,1,0.375,1.0,0.5454545454545454,False,False,1;11;13;15;2;3;4;7,15;2;4
captaincookrecipes,blenderbananapancakes,8,ares,0.29898306727409363,1,0.3,1.0,0.4615384615384615,False,False,1;11;12;15;2;3;4;5;7;9,15;2;4
captaincookrecipes,blenderbananapancakes,9,ares,0.29898306727409363,1,0.375,1.0,0.5454545454545454,False,False,1;11;12;15;2;3;4;9,15;2;4
captaincookrecipes,breakfastburritos,0,ares,0.16363635659217834,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;5;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,1,ares,0.16363635659217834,0,0.8,1.0,0.888888888888889,False,False,11;12;4;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,2,ares,0.16363635659217834,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;5;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,3,ares,0.16363635659217834,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,4,ares,0.16363635659217834,0,0.8,1.0,0.888888888888889,False,False,11;12;4;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,5,ares,0.16363635659217834,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,6,ares,0.16363635659217834,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,7,ares,0.16363635659217834,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,8,ares,0.16363635659217834,0,0.5714285714285714,1.0,0.7272727272727273,False,False,11;12;4;5;6;7;8,12;4;7;8
captaincookrecipes,breakfastburritos,9,ares,0.16363635659217834,0,0.6666666666666666,1.0,0.8,False,False,11;12;4;6;7;8,12;4;7;8
