dataset,method,recipe_name,ordering_index,node_id,position,score
captaincookrecipes,sager,blenderbananapancakes,0,12,0,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,0,13,1,0.8776223063468933
captaincookrecipes,sager,blenderbananapancakes,0,5,2,0.16433566808700562
captaincookrecipes,sager,blenderbananapancakes,0,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,0,1,4,0.3881118595600128
captaincookrecipes,sager,blenderbananapancakes,0,7,5,0.1258741319179535
captaincookrecipes,sager,blenderbananapancakes,0,3,6,0.0335664302110672
captaincookrecipes,sager,blenderbananapancakes,0,11,7,0.6398600935935974
captaincookrecipes,sager,blenderbananapancakes,0,6,8,0.6083915829658508
captaincookrecipes,sager,blenderbananapancakes,0,8,9,0.8951049447059631
captaincookrecipes,sager,blenderbananapancakes,0,10,10,0.8811188340187073
captaincookrecipes,sager,blenderbananapancakes,0,14,11,0.8951048851013184
captaincookrecipes,sager,blenderbananapancakes,0,2,12,0.3461538553237915
captaincookrecipes,sager,blenderbananapancakes,0,4,13,0.2237762212753296
captaincookrecipes,sager,blenderbananapancakes,0,15,14,0.1398601233959198
captaincookrecipes,sager,blenderbananapancakes,1,12,0,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,1,13,1,0.8776223063468933
captaincookrecipes,sager,blenderbananapancakes,1,5,2,0.16433566808700562
captaincookrecipes,sager,blenderbananapancakes,1,1,3,0.39510488510131836
captaincookrecipes,sager,blenderbananapancakes,1,9,4,0.0
captaincookrecipes,sager,blenderbananapancakes,1,7,5,0.14335663616657257
captaincookrecipes,sager,blenderbananapancakes,1,3,6,0.028671329841017723
captaincookrecipes,sager,blenderbananapancakes,1,11,7,0.6538461446762085
captaincookrecipes,sager,blenderbananapancakes,1,6,8,0.6608392000198364
captaincookrecipes,sager,blenderbananapancakes,1,8,9,0.9335664510726929
captaincookrecipes,sager,blenderbananapancakes,1,10,10,0.9195804595947266
captaincookrecipes,sager,blenderbananapancakes,1,14,11,0.9300699234008789
captaincookrecipes,sager,blenderbananapancakes,1,2,12,0.3741258978843689
captaincookrecipes,sager,blenderbananapancakes,1,4,13,0.16433566808700562
captaincookrecipes,sager,blenderbananapancakes,1,15,14,0.05944056063890457
captaincookrecipes,sager,blenderbananapancakes,2,12,0,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,2,5,1,0.2097901999950409
captaincookrecipes,sager,blenderbananapancakes,2,13,2,0.8286713361740112
captaincookrecipes,sager,blenderbananapancakes,2,1,3,0.43706294894218445
captaincookrecipes,sager,blenderbananapancakes,2,9,4,0.0
captaincookrecipes,sager,blenderbananapancakes,2,7,5,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,2,3,6,0.09440559148788452
captaincookrecipes,sager,blenderbananapancakes,2,11,7,0.671328604221344
captaincookrecipes,sager,blenderbananapancakes,2,6,8,0.5664335489273071
captaincookrecipes,sager,blenderbananapancakes,2,8,9,0.8601398468017578
captaincookrecipes,sager,blenderbananapancakes,2,10,10,0.8041958212852478
captaincookrecipes,sager,blenderbananapancakes,2,14,11,0.8916083574295044
captaincookrecipes,sager,blenderbananapancakes,2,2,12,0.3986014127731323
captaincookrecipes,sager,blenderbananapancakes,2,4,13,0.1783216893672943
captaincookrecipes,sager,blenderbananapancakes,2,15,14,0.05944056063890457
captaincookrecipes,sager,blenderbananapancakes,3,5,0,0.19930072128772736
captaincookrecipes,sager,blenderbananapancakes,3,9,1,0.0
captaincookrecipes,sager,blenderbananapancakes,3,1,2,0.4755244851112366
captaincookrecipes,sager,blenderbananapancakes,3,13,3,0.8391608595848083
captaincookrecipes,sager,blenderbananapancakes,3,12,4,0.024475524201989174
captaincookrecipes,sager,blenderbananapancakes,3,7,5,0.06643357127904892
captaincookrecipes,sager,blenderbananapancakes,3,3,6,0.010489510372281075
captaincookrecipes,sager,blenderbananapancakes,3,11,7,0.7307692170143127
captaincookrecipes,sager,blenderbananapancakes,3,6,8,0.7307692170143127
captaincookrecipes,sager,blenderbananapancakes,3,8,9,0.9545454978942871
captaincookrecipes,sager,blenderbananapancakes,3,10,10,0.9370629787445068
captaincookrecipes,sager,blenderbananapancakes,3,14,11,1.0
captaincookrecipes,sager,blenderbananapancakes,3,2,12,0.31118881702423096
captaincookrecipes,sager,blenderbananapancakes,3,4,13,0.0699300691485405
captaincookrecipes,sager,blenderbananapancakes,3,15,14,0.19230769574642181
captaincookrecipes,sager,blenderbananapancakes,4,12,0,0.09090909361839294
captaincookrecipes,sager,blenderbananapancakes,4,13,1,0.8776223063468933
captaincookrecipes,sager,blenderbananapancakes,4,1,2,0.40559443831443787
captaincookrecipes,sager,blenderbananapancakes,4,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,4,5,4,0.1258741319179535
captaincookrecipes,sager,blenderbananapancakes,4,7,5,0.11888112127780914
captaincookrecipes,sager,blenderbananapancakes,4,3,6,0.03706293925642967
captaincookrecipes,sager,blenderbananapancakes,4,11,7,0.6923076510429382
captaincookrecipes,sager,blenderbananapancakes,4,6,8,0.6223776340484619
captaincookrecipes,sager,blenderbananapancakes,4,8,9,0.8881118893623352
captaincookrecipes,sager,blenderbananapancakes,4,10,10,0.9300699234008789
captaincookrecipes,sager,blenderbananapancakes,4,14,11,0.9335664510726929
captaincookrecipes,sager,blenderbananapancakes,4,2,12,0.38811194896698
captaincookrecipes,sager,blenderbananapancakes,4,4,13,0.18881118297576904
captaincookrecipes,sager,blenderbananapancakes,4,15,14,0.0979020968079567
captaincookrecipes,sager,blenderbananapancakes,5,13,0,0.8811188340187073
captaincookrecipes,sager,blenderbananapancakes,5,1,1,0.4895104765892029
captaincookrecipes,sager,blenderbananapancakes,5,5,2,0.1258741319179535
captaincookrecipes,sager,blenderbananapancakes,5,9,3,0.0
captaincookrecipes,sager,blenderbananapancakes,5,12,4,0.0419580414891243
captaincookrecipes,sager,blenderbananapancakes,5,7,5,0.11188811808824539
captaincookrecipes,sager,blenderbananapancakes,5,3,6,0.04335664212703705
captaincookrecipes,sager,blenderbananapancakes,5,11,7,0.7657342553138733
