example_id,node_id,serialization_id,serialization,method,score,binary_prediction,gold_label
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.5456693172454834,0,1
spicedhotchocolate,1,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.5897500048826138,0,1
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.41929134726524353,1,0
spicedhotchocolate,2,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.6320000053197146,0,0
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.5629920959472656,0,1
spicedhotchocolate,3,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.4687500077113511,1,1
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.5141732692718506,0,0
spicedhotchocolate,5,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.649000006839633,0,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.33228349685668945,1,0
spicedhotchocolate,6,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.698031485080719,0,0
spicedhotchocolate,7,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.38800000578165056,1,0
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.49881890416145325,1,1
spicedhotchocolate,8,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.6760000158846379,0,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",ares,0.5078740119934082,0,1
spicedhotchocolate,9,0,"[6, 7, 5, 8, 2, 3, 1, 9]",sager,0.5265000075226031,0,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.4732283353805542,1,1
spicedhotchocolate,1,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.5897500048826138,0,1
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.6271653175354004,0,0
spicedhotchocolate,2,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.6320000053197146,0,0
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.4968504011631012,1,1
spicedhotchocolate,3,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.4687500077113511,1,1
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.5141732692718506,0,0
spicedhotchocolate,5,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.649000006839633,0,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.33228349685668945,1,0
spicedhotchocolate,6,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.698031485080719,0,0
spicedhotchocolate,7,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.38800000578165056,1,0
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.4055118262767792,1,1
